link_wine,titulo,comentario_sommelier,preco_total,preco_associado,desconto,tipo,uvas,pais,regiao,vinicola,teor_alcoolico,amadurecimento,classificacao,visual,aroma,gustativo,temperatura_servico,potencial_guarda,harmonizacao,quantidade_avaliacoes,nota
https://www.wine.com.br/vinhos/porto-burmester-tordiz-40-years-old-tawny/prod14722.html,Porto Burmester Tordiz 40 Years Old Tawny,"Este belo exemplar é um Tawny que nasceu de vários vinhos envelhecidos em pequenas barricas de carvalho, reunidos depois em um grande e antigo balseiro datado de 1864. Seu nome é uma referência à confluência dos rios Tordo e Mendiz. Um Porto de excelência, pontuado pela Wine Spectator e que recebeu Medalha de Ouro no International Wine Challenge 2015, e outra medalha do mesmo nível no concurso World Wine Awards 2015 promovido pela revista Decanter.",940.0,799.0,15.0,Licoroso,Castas tradicionais no Douro,Portugal,Douro,Burmester,20.00% ABV,40 anos em barricas de carvalho,Suave/Doce,Acastanhado,"Intenso, frutas secas, especiarias,mel","Encorpado, untuoso, aveludado, complexo, saboroso, final longo",16 °C,20 anos,"Perfeito para queijos azuis como o stilton, o roquefort e o gorgonzola. Ótimo para acompanhar sobremesas à base de frutas secas, castanhas diversas ou com especiarias. ",1.0,5.0
https://www.wine.com.br/vinhos/sena-2015-/prod19480.html,Seña 2015.,"Este exemplar é produzido com toda a expertise e irreverência da Viña Errazuriz, que apostou sabiamente no terroir de Aconcagua. Em parceria com o famoso enólogo Robert Mondavi, Seña ganha vida em um único vinhedo, no coração do Valle do Aconcagua, e é vinificado no estilo bordalês. Muito pontuado, conquistou o reconhecimento máximo de James Suckling.",1950.0,1657.5,15.0,Tinto,"Petit Verdot (7%), Cabernet Sauvignon (57%), Cabernet Franc (3%), Carménère (21%), Malbec (12%)",Chile,Valle del Aconcagua,Viña Errazuriz,13.50% ABV,"22 meses, sendo 65% em barricas de carvalho francês de primeiro uso, 12% em foudres Stockinger e o restante em barricas de diferentes usos. ",Seco,Rubi intenso,"Ameixa cozida, frutas maduras, especiarias, tabaco, couro, alcaçuz, ","Potente, complexo, elegante, boa acidez, taninos presentes, amadeirado, final persistente",16 °C,15 anos,"Coelho à caçadora, ojo de bife com purê de baroa, entrecôte à la bordelaise, polenta de colher com cogumelos trufado, t-bone grelhado com batatas rústicas, baby beef com cebolas carameladas.",2.0,4.5
https://www.wine.com.br/vinhos/champagne-ruinart-blanc-de-blancs-brut/prod4188.html,Champagne Ruinart Blanc de Blancs Brut,"Elegante, o champagne Ruinart oferece um leque de aromas complexos e um paladar com bom corpo, equilibrado e longo. Ruinart foi criada em 1729 e figura entre as mais prestigiadas casas de champagne. Recebeu 4 pontuações de revistas conceituadas e críticos importantes do mundo do vinho.",893.5,759.48,15.0,Espumante,Chardonnay (100%),França,Champagne,Maison Ruinart,12.50% ABV,Mescla de vinhos amadurecidos até 2 anos,Brut,Amarelo dourado,"Pera madura, lichia, tostado, flores brancas, mineral","Equilibrado, bom corpo, acidez agradável, final persistente",10 °C,10 anos,"Ostras, crustáceos, peixes grelhados, ceviches, carpaccio de polvo ou peixe branco, salada de lagosta.",2.0,5.0
https://www.wine.com.br/vinhos/vik-2012/prod21001.html,VIK 2012,"A requintada Vik lança nova safra de um dos maiores ícones chilenos. Tinto que lembra os grandes exemplares de Bordeaux, os Premier Grand Cru, mas com personalidade chilena. Nascido em um terroir especial, o Valle de Millahue que é chamado lugar de ouro na língua indígena local, o qual foi escolhido após uma minuciosa busca feita por Alexander Vik. Com um incrível nível de qualidade, foi pontuado por diversos críticos especializados.",1250.0,1062.5,15.0,Tinto,"Cabernet Franc (6%), Cabernet Sauvignon (53%), Merlot (4%), Carménère (35%), Syrah (2%)",Chile,Valle del Cachapoal,Vik,14.00% ABV,26 meses em barricas de carvalho.,Seco,Rubi intenso.,"Framboesa, cereja, cassis, especiarias, defumado, amadeirado.","Potente, taninos firmes, boa acidez, complexo, final longo.",16 °C,18 anos,"Picanha à espanhola, goulasch, bistecca alla fiorentina, bucatini com ragu de cordeiro, shiitake recheado, queijos duros e maduros.",3.0,5.0
https://www.wine.com.br/vinhos/almaviva-2014-375-ml/prod17067.html,Almaviva 2014 375 ml,"Tinto pontuado, com aromas envolventes, paladar complexo e concentrado. Um dos rótulos ícones do Chile, o Almaviva foi desenvolvido por dois aclamados nomes do mundo do vinho, a francesa Baron Philippe de Rothschild com a chilena Viña Concha y Toro. A versão 375 ml é ideal para acompanhar uma refeição, ou mesmo para presentear.",776.5,660.03,15.0,Tinto,"Cabernet Franc (8%), Cabernet Sauvignon (68%), Carménère (22%), Petit Verdot (2%)",Chile,Puente Alto,Almaviva,15.00% ABV,18 meses em barricas novas de carvalho francês.,Seco,Rubi intenso,"Mirtilo, amora, groselha, cedro, especiarias, baunilha, nozes, alcaçuz, cacau","Intenso, concentrado, taninos presentes, boa acidez, final persistente",16 °C,10 anos,"Magret de pato, risoto de funghi, medalhão de mignon com batatas ao murro, costeletas de javali ao poivre, assado de tira e picanha suína ao balsâmico.",3.0,5.0
https://www.wine.com.br/vinhos/champagne-jacquart-mosaique-brut-magnum/prod9059.html,Champagne Jacquart Mosaïque Brut Magnum,"A Jacquart é famosa por produzir champagnes nobres e de extrema elegância. Suas borbulhas são delicadas e numerosas, o aroma é rico em notas de frutas brancas e, em boca, é intensamente refrescante e cremoso. Esse rótulo foi pontuado pela Wine Spectator.",705.9,600.02,15.0,Espumante,"Pinot Noir, Pinot Meunier, Chardonnay",França,Champagne,Jacquart,12.50% ABV,Método tradicional (segunda fermentação em garrafa),Brut,"Amarelo palha, com borbulhas delicadas e perlage fina.","Frutas brancas como pera, pêssego e maçã, com notas de damasco e de pão fresco.","Intensamente refrescante, cremoso e elegante.",7 °C,4 anos,"Carpaccio de salmão, camarão à provençal, lagosta grelhada na manteiga, foie gras, vieras gratinadas e risoto de frutos do mar.",3.0,4.5
https://www.wine.com.br/vinhos/champagne-moet-chandon-imperial-rose-brut/prod4195.html,Champagne Moët & Chandon Impérial Rosé Brut,"Um dos mais nobres champagnes do mundo, o Moët & Chandon Impérial Rosé Brut encanta desde o momento que entra na taça. Os aromas intensos, a cremosidade e o corpo justificam as pontuações recebidas.",654.62,556.43,15.0,Espumante,"Pinot Noir (50%), Pinot Meunier (30%), Chardonnay (20%)",França,Champagne,Moët & Chandon,12.00% ABV,Método Champenoise,Brut,Rosa claro,"Frutas vermelhas, floral, chá de hibisco, brioche","Elegante, encorpado, cremoso, final longo",10 °C,8 anos,"Camarões grelhados, lagosta, carpaccio, tartar de carne vermelha, vitela empanada, risoto de frutos do mar.",2.0,5.0
https://www.wine.com.br/vinhos/louis-m-martini-monte-rosso-cabernet-sauvignon-2011/prod14406.html,Louis M. Martini Monte Rosso Cabernet Sauvignon 2011,"Esse pontuado rótulo é produzido com uvas provenientes do nobre e lendário vinhedo de Monte Rosso, localizado em um terroir privilegiado que une elevada altitude, solos vulcânicos e um clima ideal. O baixo rendimento proporciona uvas com alta concentração e qualidade, o que justifica toda a grandiosidade desse vinho.",618.0,525.3,15.0,Tinto,Cabernet Sauvignon (100%),Estados Unidos,Sonoma Valley,Louis M. Martini Winery,15.40% ABV,Cerca de 30 meses em barricas de carvalho francês.,Seco,Rubi intenso.,"Cerejas e ameixas em compota, notas de couro e especiarias, com toque terroso.","Complexo, encorpado, com taninos presentes, notas de frutas negras, tosta e caramelo.",16 °C,10 anos,"T-bone grelhado com batatas rústicas, risoto de cogumelos, fettuccine com ragu de carne, carré de cordeiro, lasanha de shitake, linguine à carbonara.",3.0,4.5
https://www.wine.com.br/vinhos/champagne-veuve-clicquot-demi-sec/prod4199.html,Champagne Veuve Clicquot Demi-Sec,"Veuve Clicquot Demi-Sec apresenta aromas de frutas maduras, mel e pão torrado. No paladar, possui bom corpo, é cremoso, adocicado, possui acidez agradável e boa persistência. Veuve Clicquot está entre as marcas de champagne mais famosas no mundo. Uma incrível experiência para os amantes de champagne com toque adocicado.",611.42,519.71,15.0,Espumante,"Pinot Noir, Pinot Meunier, Chardonnay",França,Champagne,Veuve Clicquot,12.00% ABV,"Vinho base amadurece em barricas de carvalho francês por, no mínimo, 30 meses",Meio Seco/Demi-Sec,Amarelo ,"Frutas maduras, mel, pão torrado","Bom corpo, cremoso, acidez agradável, adocicado, boa persistência",8 °C,10 anos,"Tapas espanholas, gastronomia tailandesa, gastronomia japonesa, bolo de frutas cítricas, salada de frutas, camarão com molho agridoce.",2.0,4.5
https://www.wine.com.br/vinhos/l-hospitalet-de-gazin-2010/prod12813.html,L`Hospitalet De Gazin 2010,"Segundo vinho do Château Gazin, o L'Hospitalet de Gazin 2010 possui um paladar complexo, elegante, macio, equilibrado e com boa estrutura, que se mescla aos aromas de ameixa, cereja preta, alcaçuz, notas de especiarias e toque amadeirado. Com 90 pontos Wine Spectator e 17 Jancis Robinson, esse tinto é elaborado em Pomerol, a menor área de produção de vinhos de Bordeaux. Essa região produz exclusivamente exemplares tintos, sendo sua principal casta a Merlot. Os vinhedos são privilegiados por seu terroir, que proporciona a colheita mais precoce de toda a localidade, antes do período de chuvas.",695.0,590.75,15.0,Tinto,"Merlot (90%), Cabernet Sauvignon (7%), Cabernet Franc (3%)",França,Pomerol,Château Gazin,14.50% ABV,Em barricas de carvalho. ,Seco,Rubi.,"Ameixa, cereja preta, alcaçuz, notas de especiarias e toque amadeirado.","Complexo, elegante, macio, equilibrado, com boa estrutura, notas de café e chocolate. ",15 °C,10 anos,"Pernil de cordeiro assado, risoto caprese, linguine ao ragu de carne, picanha ao forno, ravioli ao pomodoro, codorna ao molho de vinho.  ",2.0,5.0
